feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
0.0,0.02338,0.02571,0.032814,0.025476,0.003111,-0.649395,3.658049,0.00431,0.000601,-0.0,1.962227,0.976562,16.601562,63.476562,1.953125,0.696658,0.744649,0.0,0.01952,0.024768,0.043965,0.024563,0.008094,-0.24712,-0.236542,0.003074,0.003943,-0.0,1.962227,0.976562,16.601562,63.476562,3.90625,1.422862,1.298387,-0.460805,-0.336216,-0.137752,0.119092,-0.161608,0.176488,-0.09101,-1.500771,0.087036,0.008194,-0.0,1.962227,0.976562,1.953125,16.601562,15.625,9.980156,6.559967,rung_6
0.0,0.027991,0.029509,0.034586,0.029387,0.002214,-2.364046,29.081547,0.001251,0.001796,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.716932,0.733152,0.0,0.026621,0.030496,0.044951,0.03083,0.006169,-0.107355,-0.184991,0.007353,0.002896,-0.0,2.12949,0.976562,16.601562,63.476562,3.90625,1.505484,1.390329,-0.569754,-0.386689,-0.180979,0.116785,-0.198697,0.201907,-0.109145,-1.244189,0.079783,0.012398,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,10.209483,6.661064,rung_6
0.0,0.022697,0.02549,0.034081,0.025656,0.003724,-0.183803,1.146503,0.008032,0.000917,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.697643,0.738538,0.0,0.023162,0.028185,0.046952,0.027819,0.006474,-0.100302,-0.167533,0.005429,0.003663,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.48236,1.4767,-0.501033,-0.321442,-0.134176,0.144126,-0.144321,0.178521,-0.282452,-1.244046,0.067639,0.00825,-0.0,2.12949,0.976562,1.953125,16.601562,4.882812,9.994126,7.210482,rung_6
0.0,0.028089,0.029477,0.03579,0.029532,0.002343,-1.762295,23.587297,0.007171,0.004082,-0.0,2.12949,0.976562,16.601562,63.476562,1.953125,0.70698,0.710249,0.0,0.024897,0.029678,0.050459,0.029504,0.006618,-0.094582,0.152582,0.004308,0.003624,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.423175,1.34985,-0.528684,-0.348527,-0.135414,0.150734,-0.165626,0.199145,-0.046587,-1.345482,0.017977,0.01532,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,9.903574,6.776794,rung_6
0.0,0.030378,0.032268,0.038503,0.032252,0.002743,-1.550492,17.410007,0.004653,0.004511,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.703421,0.73895,0.0,0.031068,0.035472,0.051065,0.035383,0.006172,-0.171278,0.409361,0.003759,0.004682,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.301048,1.393877,-0.323823,-0.230145,-0.062171,0.189775,-0.060685,0.164882,0.021308,-1.495086,0.046675,0.024756,-0.0,2.12949,0.0,1.953125,2.929688,3.90625,8.847019,5.980293,rung_6
0.0,0.026753,0.029427,0.037176,0.029606,0.003646,-0.418271,3.067012,0.005299,0.006365,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.719959,0.778161,0.0,0.02186,0.028314,0.045968,0.027496,0.008487,-0.369808,-0.41252,0.00289,0.003013,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.311861,1.367764,-0.415198,-0.22812,-0.063567,0.186679,-0.060804,0.176342,-0.14887,-1.301302,0.047275,0.020163,-0.0,2.12949,0.0,1.953125,15.625,4.882812,9.25776,6.31123,rung_6
0.0,0.029005,0.030284,0.034772,0.030197,0.001999,-3.40707,49.36549,0.002747,0.000499,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.694339,0.75525,0.0,0.02518,0.02966,0.043228,0.029415,0.006173,-0.239745,0.02647,0.008582,0.002519,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.289916,1.305883,-0.48701,-0.22909,-0.053912,0.181607,-0.069118,0.194319,-0.343704,-1.189615,0.04323,0.017247,-0.0,2.12949,0.0,1.953125,4.882812,3.90625,9.00091,6.493659,rung_6
0.0,0.021401,0.024788,0.032475,0.024364,0.003914,-0.410546,0.399211,0.002565,0.003574,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.6776,0.77209,-0.01002,0.012071,0.019331,0.039254,0.018307,0.00926,-0.377297,-0.272595,0.004111,0.001299,-0.0,2.12949,0.976562,16.601562,63.476562,3.90625,1.28523,1.381688,-0.450338,-0.293597,-0.099527,0.163843,-0.103756,0.193165,-0.15705,-1.36913,0.007538,0.006758,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,9.030416,6.106339,rung_6
0.0,0.025181,0.028499,0.036757,0.028193,0.004078,-0.556794,1.211244,0.005728,0.004655,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.688154,0.751983,0.0,0.020045,0.025122,0.041413,0.024574,0.007602,-0.378877,-0.082622,0.006699,0.001561,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.277039,1.444799,-0.441204,-0.242889,-0.08888,0.168906,-0.085408,0.183904,-0.113374,-1.413714,0.061582,0.01895,-0.0,2.12949,0.0,1.953125,4.882812,5.859375,8.734314,6.393512,rung_6
0.0,0.025134,0.028957,0.036133,0.028496,0.004058,-0.508713,1.058012,0.007118,0.000311,-0.0,2.12949,0.976562,16.601562,1.953125,63.476562,0.703686,0.778554,0.0,0.020062,0.02752,0.045225,0.026433,0.009198,-0.373123,-0.523371,0.004241,0.004291,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.313949,1.368924,-0.550979,-0.347829,-0.111587,0.172863,-0.131862,0.217074,-0.232854,-1.370596,0.03734,0.008371,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,8.584744,6.495229,rung_6
0.0,0.029619,0.031368,0.036542,0.031338,0.002511,-1.915813,22.364452,0.007242,0.003716,-0.0,2.12949,0.976562,16.601562,1.953125,63.476562,0.700863,0.766519,0.0,0.026353,0.030804,0.044016,0.03064,0.006002,-0.311277,0.077554,0.006783,0.004754,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.375687,1.412744,-0.435439,-0.277056,-0.076368,0.158683,-0.092674,0.191747,-0.273981,-1.410213,0.029028,0.007715,-0.0,2.12949,0.0,1.953125,2.929688,16.601562,8.135321,5.497496,rung_6
0.0,0.033425,0.035665,0.041262,0.035287,0.002858,-2.060353,21.441355,0.004584,0.002963,-0.0,2.12949,0.976562,16.601562,1.953125,63.476562,0.722324,0.738013,0.0,0.032546,0.037367,0.052933,0.036878,0.006166,-0.304112,0.728594,0.004031,0.003598,-0.0,2.12949,0.976562,16.601562,63.476562,64.453125,1.283985,1.380975,-0.42301,-0.291374,-0.061202,0.175901,-0.094123,0.194591,-0.156666,-1.540771,0.01282,0.005732,-0.0,2.12949,0.0,1.953125,16.601562,5.859375,7.871498,5.758317,rung_6
0.0,0.029622,0.032109,0.038036,0.031672,0.003228,-1.328582,8.237767,0.006653,0.004738,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.729757,0.753995,-0.000546,0.021712,0.028649,0.049297,0.027892,0.009891,-0.446184,-0.127229,0.008377,0.003065,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.284899,1.399471,-0.371767,-0.230297,-0.038752,0.176656,-0.053226,0.174634,-0.212308,-1.463735,0.003985,0.004259,-0.0,2.12949,0.0,1.953125,5.859375,2.929688,8.07774,5.802279,rung_6
0.0,0.032114,0.033708,0.04005,0.033686,0.002458,-2.421242,33.337341,0.004291,0.005049,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.730439,0.746046,0.0,0.029019,0.03393,0.048864,0.033604,0.006565,-0.237867,0.178425,0.013213,0.004975,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.205067,1.40125,-0.315451,-0.123293,0.051926,0.214243,0.017625,0.148351,-0.430825,-1.138674,0.051497,0.014012,-0.0,2.12949,1.953125,0.0,3.90625,4.882812,6.780245,5.042235,rung_6
