feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
-0.071242,-0.0564,-0.044264,0.0,-0.045321,0.014613,-0.195052,-1.126362,0.006306,0.003789,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.758489,0.942537,-0.076539,-0.061845,-0.049795,0.0,-0.050962,0.014361,-0.188931,-1.053963,0.005743,0.004343,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.848638,1.011597,0.0,0.026847,0.041354,0.064115,0.039625,0.017638,-0.276386,-1.136527,0.006593,0.003606,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.647172,0.921661,stop
-0.040141,-0.030374,-0.01971,0.0,-0.022085,0.010155,-0.483761,-1.184696,0.002446,0.001928,-0.0,2.12949,0.976562,1.953125,2.929688,5.859375,0.387802,0.469455,-0.046682,-0.037201,-0.026681,0.0,-0.028948,0.010078,-0.453199,-1.15688,0.002321,0.002331,-0.0,2.12949,0.976562,1.953125,2.929688,5.859375,0.496701,0.561337,0.0,0.056188,0.068163,0.079946,0.06529,0.011576,-0.661249,-0.270909,0.005855,0.005601,-0.0,2.12949,0.976562,1.953125,2.929688,5.859375,1.052656,1.11173,stop
-0.093349,-0.064647,-0.049292,0.0,-0.053716,0.017658,-0.509122,-0.614426,0.005284,0.002206,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.480826,0.564309,-0.099318,-0.071268,-0.055618,0.0,-0.060053,0.017684,-0.473965,-0.601558,0.005067,0.002792,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.586769,0.658043,-0.0215,0.015629,0.034119,0.063709,0.028186,0.021717,-0.57893,-0.601361,0.004039,0.004453,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.950468,1.00605,stop
-0.032426,-0.029773,-0.025149,0.0,-0.023336,0.006962,0.311969,-1.35686,0.007795,0.002094,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.309379,0.466993,-0.038197,-0.03581,-0.031223,0.0,-0.029496,0.006804,0.334919,-1.194573,0.007544,0.002311,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.410801,0.535731,0.0,0.055215,0.061071,0.076154,0.06305,0.008348,-0.141061,1.569236,0.01555,0.005452,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,1.133282,1.216285,stop
-0.025303,-0.019279,-0.011801,0.003061,-0.011478,0.008606,0.031827,-1.279198,0.00416,0.001211,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,0.196879,0.396936,-0.031363,-0.02529,-0.018134,0.0,-0.017753,0.008336,0.036842,-1.252212,0.00416,0.001499,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,0.293059,0.449745,0.0,0.06792,0.076416,0.092705,0.076542,0.009835,-0.40706,2.119954,0.006034,0.006217,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,1.271182,1.332993,stop
-0.02055,-0.012884,-0.008893,0.002763,-0.008745,0.006161,0.085126,-1.009572,0.003775,0.00013,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,0.048684,0.246194,-0.027699,-0.020101,-0.016377,0.0,-0.016126,0.006131,0.1986,-0.825083,0.004409,0.000816,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,0.154009,0.306236,0.0,0.073064,0.077879,0.092426,0.077756,0.00786,-0.843566,8.065873,0.004609,0.006907,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,1.422414,1.458476,stop
-0.02478,-0.014112,-0.009866,0.0,-0.010538,0.006163,-0.571951,-0.404698,0.00277,0.000337,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.060182,0.117466,-0.032621,-0.022211,-0.017607,0.0,-0.018362,0.006264,-0.530594,-0.428407,0.003343,0.000955,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.18364,0.211484,0.0,0.07228,0.076824,0.087587,0.075931,0.007548,-1.577463,9.271625,0.003408,0.006611,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,1.381786,1.386484,stop
-0.014507,-0.006369,-0.001526,0.00747,-0.00248,0.005649,-0.345107,-0.620863,0.003833,0.000423,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.067121,0.154047,-0.02206,-0.014043,-0.009114,0.0,-0.01015,0.005568,-0.361699,-0.643189,0.003504,0.000565,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.07466,0.158577,0.0,0.079551,0.085604,0.094479,0.083831,0.006803,-2.19947,21.2346,0.011542,0.007264,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,1.493358,1.503766,stop
-0.024431,-0.009484,-3.2e-05,0.008495,-0.002765,0.009427,-0.845041,-0.513,0.003458,0.001321,-0.0,2.12949,1.953125,0.0,2.929688,3.90625,0.172475,0.479918,-0.032146,-0.017997,-0.007988,0.000283,-0.0108,0.009463,-0.837898,-0.583883,0.003496,0.001686,-0.0,2.12949,1.953125,2.929688,0.976562,3.90625,0.285722,0.53506,0.0,0.073435,0.085299,0.094938,0.081966,0.011334,-1.131938,1.828721,0.009454,0.00618,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,1.25014,1.373265,stop
-0.032607,-0.024551,-0.015019,0.000168,-0.015418,0.009518,-0.045998,-1.267176,0.005265,0.001331,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,0.213077,0.377681,-0.040092,-0.032108,-0.022626,0.0,-0.022906,0.009623,-0.010766,-1.261662,0.00559,0.001908,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.32971,0.46153,0.0,0.057261,0.069093,0.086329,0.068258,0.011345,-0.280925,-0.11361,0.009288,0.00598,-0.0,2.12949,0.976562,1.953125,2.929688,9.765625,1.181769,1.244517,stop
