feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
-0.048425,-0.008509,0.0351,0.202307,0.044299,0.059548,0.246378,-1.15598,0.058912,0.013434,-0.0,1.962227,35.15625,34.179687,0.976562,36.132812,3.309196,9.448561,-0.291684,-0.132564,-0.035194,0.31788,-0.002565,0.149839,0.324448,-1.169464,0.372011,0.012664,-0.0,1.962227,34.179687,36.132812,69.335937,0.976562,7.088922,26.80913,-0.498775,-0.32103,-0.159251,0.113812,-0.171252,0.163452,-0.154263,-1.293701,0.224988,0.037947,-0.0,1.962227,0.976562,1.953125,4.882812,5.859375,12.833438,16.81974,rung_12_5
-0.366833,-0.056888,-0.009631,0.162581,-0.0191,0.10243,-0.942774,0.793672,0.080844,0.006513,-0.0,2.12949,0.976562,34.179687,1.953125,36.132812,3.332978,9.542818,-0.638345,-0.161868,-0.06889,0.334628,-0.045573,0.180899,-0.241808,0.089191,0.391792,0.012756,-0.0,2.12949,34.179687,0.976562,0.0,36.132812,6.426123,27.220539,-0.366641,-0.189016,-0.120816,0.085686,-0.121446,0.097875,-0.163196,-0.654065,0.111468,0.015967,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,11.540476,14.983605,rung_12_5
-0.067837,-0.021768,0.019682,0.131451,0.030554,0.057446,0.215046,-1.362998,0.069062,0.006443,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.13696,9.326761,-0.216988,-0.110165,-0.002386,0.411226,0.026581,0.153605,0.348099,-1.090436,0.342973,0.019874,-0.0,2.12949,34.179687,36.132812,0.0,69.335937,7.754642,26.539452,-0.63421,-0.395248,-0.083854,0.197371,-0.178159,0.244704,-0.239431,-1.488501,0.197423,0.041417,-0.0,2.12949,0.0,1.953125,4.882812,5.859375,12.904291,16.742676,rung_12_5
-0.144098,-0.022906,0.015313,0.138956,0.025213,0.062228,0.018373,-0.828136,0.09186,0.000633,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.619944,9.436105,-0.217667,-0.09526,0.006739,0.370566,0.038067,0.151574,0.322622,-1.172278,0.43084,0.026125,-0.0,2.12949,34.179687,0.0,36.132812,69.335937,7.604208,27.756521,-0.307524,-0.131533,-0.034835,0.207294,-0.028623,0.124068,-0.040726,-1.190587,0.273588,0.02046,-0.0,2.12949,1.953125,6.835937,69.335937,5.859375,11.307301,16.867249,rung_12_5
-0.155531,-0.026661,0.013635,0.139852,0.021647,0.0646,-0.044065,-0.700988,0.075558,0.006739,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,2.853998,9.722199,-0.21262,-0.115103,-0.014942,0.346591,0.016748,0.14815,0.365,-1.201868,0.318403,0.011784,-0.0,2.12949,34.179687,0.0,69.335937,0.976562,6.744093,28.18676,-0.344143,-0.1511,0.026571,0.210463,-0.014529,0.145995,-0.424442,-1.194161,0.117229,0.028805,-0.0,2.12949,1.953125,69.335937,4.882812,2.929688,11.284876,16.296293,rung_12_5
-0.091091,-0.023189,0.01866,0.133207,0.028599,0.058446,0.170055,-1.274947,0.111339,0.008329,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.01455,9.385342,-0.303495,-0.122843,-0.028775,0.344226,0.001523,0.150527,0.323802,-1.057122,0.373606,0.01663,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,6.982466,26.636778,-0.449843,-0.27517,-0.129126,0.206306,-0.119418,0.181646,0.103712,-1.369258,0.216498,0.018137,-0.0,2.12949,0.0,1.953125,6.835937,5.859375,12.097431,15.075002,rung_12_5
-0.056325,-0.014693,0.028134,0.145666,0.03798,0.057685,0.206318,-1.386027,0.074393,0.005805,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.944916,9.144775,-0.381929,-0.138921,-0.042915,0.328632,-0.012726,0.151832,0.262924,-0.956119,0.408498,0.025549,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,7.694108,26.374243,-0.605114,-0.429059,-0.176789,0.183193,-0.195293,0.243254,-0.129811,-1.537267,0.315837,0.042872,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,13.153813,15.679844,rung_12_5
-0.058067,-0.00993,0.033594,0.175495,0.042542,0.058351,0.196416,-1.270325,0.087713,0.007675,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.148292,9.377636,-0.257317,-0.122379,-0.021551,0.345561,0.007651,0.149462,0.293073,-1.184785,0.38531,0.016997,-0.0,2.12949,34.179687,0.976562,36.132812,0.0,6.569472,26.392038,-0.574386,-0.347374,-0.129328,0.183155,-0.152403,0.221088,-0.194133,-1.328804,0.222964,0.037853,-0.0,2.12949,0.0,1.953125,5.859375,4.882812,12.306883,16.239511,rung_12_5
-0.05581,-0.008325,0.037064,0.17625,0.04502,0.058391,0.204223,-1.279974,0.050516,0.016253,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.466823,9.63527,-0.206174,-0.10842,-0.008055,0.374447,0.024532,0.148759,0.344174,-1.223741,0.341094,0.017109,-0.0,2.12949,34.179687,36.132812,69.335937,0.0,6.47677,27.184765,-0.373747,-0.208394,-0.119752,0.172487,-0.096743,0.13237,0.052987,-1.271089,0.153401,0.032567,-0.0,2.12949,0.0,1.953125,5.859375,4.882812,11.973045,15.722698,rung_12_5
-0.05535,-0.019079,0.021238,0.131277,0.032906,0.056553,0.225712,-1.377258,0.080784,0.0076,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.060586,9.259363,-0.209381,-0.098781,0.008423,0.526616,0.03843,0.156045,0.433206,-0.810576,0.41435,0.007959,-0.0,2.12949,34.179687,0.0,36.132812,69.335937,6.767354,26.725687,-0.258107,-0.124369,-0.055834,0.146595,-0.0507,0.092703,0.084618,-0.90275,0.173494,0.034299,-0.0,2.12949,0.0,1.953125,4.882812,5.859375,11.266636,15.507654,rung_12_5
