feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
0.0,0.030699,0.031862,0.036435,0.031554,0.001986,-4.344574,61.183762,0.004333,0.007219,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.681178,0.713864,0.0,0.020821,0.024245,0.03447,0.023791,0.004989,-0.61203,0.234942,0.004946,0.004159,-0.0,2.12949,0.976562,63.476562,64.453125,1.953125,0.893203,0.998787,0.0,0.189287,0.223869,0.251935,0.213508,0.0251,-0.983638,3.584507,0.024364,0.025543,-0.0,2.12949,0.976562,1.953125,2.929688,41.015625,6.486807,5.467776,normal
0.0,0.023704,0.026813,0.033657,0.026487,0.003473,-0.49776,2.075656,0.003815,0.004433,-0.0,2.12949,0.976562,63.476562,64.453125,6.835937,0.659732,0.695739,0.0,0.017358,0.019809,0.035504,0.019783,0.003504,0.340945,2.04077,0.001226,0.000659,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.830977,1.063742,0.0,0.19108,0.221185,0.254929,0.208876,0.027253,-1.305991,2.635039,0.008943,0.011726,-0.0,2.12949,0.976562,1.953125,2.929688,63.476562,6.299128,5.512421,normal
0.0,0.03215,0.033426,0.037644,0.033417,0.002026,-4.33616,70.574509,0.005806,0.001299,-0.0,2.12949,0.976562,63.476562,1.953125,64.453125,0.678575,0.751606,0.0,0.02193,0.024564,0.034591,0.024425,0.003806,-0.356128,1.164053,0.006277,0.003434,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.781781,1.041651,0.0,0.211954,0.227912,0.252188,0.22333,0.016813,-2.763144,29.053165,0.028312,0.016854,-0.0,2.12949,0.976562,2.929688,63.476562,3.90625,5.788808,5.246109,normal
0.0,0.028289,0.031763,0.037177,0.031242,0.003245,-0.966776,6.76236,0.003101,0.000679,-0.0,2.12949,0.976562,1.953125,63.476562,64.453125,0.696507,0.756658,0.0,0.02021,0.025267,0.037259,0.024644,0.006467,-0.389635,-0.440171,0.006239,0.003876,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.808742,1.033638,0.0,0.186776,0.215335,0.25861,0.207103,0.031714,-0.900631,0.929544,0.017198,0.016888,-0.0,2.12949,0.976562,3.90625,4.882812,1.953125,5.215056,4.880104,normal
0.0,0.031645,0.033255,0.037954,0.032969,0.002167,-3.668894,50.836998,0.003118,0.003337,-0.0,1.962227,0.976562,1.953125,63.476562,64.453125,0.672873,0.704984,0.0,0.018501,0.021191,0.030615,0.021114,0.00409,-0.310263,0.244633,0.001987,0.000771,-0.0,1.962227,0.976562,63.476562,64.453125,4.882812,0.765852,1.049596,0.0,0.187276,0.207634,0.244954,0.205081,0.020852,-1.139479,7.693512,0.015122,0.009524,-0.0,1.962227,0.976562,4.882812,1.953125,63.476562,5.018933,4.612235,normal
0.0,0.031359,0.032306,0.036381,0.032434,0.001792,-5.613341,102.87146,0.002909,0.00359,-0.0,2.12949,0.976562,63.476562,1.953125,64.453125,0.66965,0.686033,0.0,0.018323,0.021034,0.030672,0.020952,0.003871,-0.290419,0.352735,0.001088,0.003142,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.74836,0.828827,0.0,0.200221,0.216645,0.254481,0.213721,0.019595,-1.600294,12.718867,0.012235,0.018938,-0.0,2.12949,0.976562,2.929688,3.90625,63.476562,5.260084,4.137345,normal
0.0,0.027353,0.030229,0.034696,0.029873,0.003078,-1.123857,7.133784,0.00435,0.005151,-0.0,2.12949,0.976562,63.476562,2.929688,64.453125,0.650921,0.72979,-0.003997,0.009223,0.015346,0.028092,0.014208,0.006859,-0.43317,-0.715852,0.007168,0.001286,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.711668,0.979995,0.0,0.193726,0.213406,0.240809,0.20616,0.022976,-1.55756,6.050167,0.032049,0.013848,-0.0,2.12949,0.976562,3.90625,2.929688,4.882812,5.055661,4.6002,normal
0.0,0.032326,0.033589,0.037909,0.033609,0.00212,-3.900981,60.024658,0.006953,0.003974,-0.0,2.12949,0.976562,63.476562,64.453125,6.835937,0.690438,0.737599,0.0,0.016177,0.021617,0.034711,0.020924,0.006796,-0.371636,-0.53723,0.004468,0.000503,-0.0,2.12949,0.976562,63.476562,64.453125,41.015625,0.750077,1.018569,0.0,0.206823,0.223853,0.257443,0.218832,0.020681,-1.661244,11.233829,0.011571,0.00665,-0.0,2.12949,0.976562,2.929688,1.953125,41.015625,5.306162,4.706806,normal
0.0,0.03363,0.03438,0.037805,0.034366,0.001547,-10.613441,235.595459,0.003445,0.004413,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.679335,0.759767,0.0,0.019042,0.021972,0.032466,0.021943,0.004299,-0.288267,0.243644,0.004253,0.001596,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.774193,0.972783,0.0,0.182097,0.216363,0.245964,0.206762,0.027356,-0.935807,1.923045,0.005623,0.006466,-0.0,2.12949,0.976562,1.953125,3.90625,63.476562,4.960673,4.128247,normal
0.0,0.029554,0.030249,0.034413,0.030218,0.00135,-10.818644,243.282608,0.004181,0.002872,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.649765,0.729745,0.0,0.020294,0.023067,0.032882,0.023058,0.003745,-0.148204,0.600258,0.00598,0.00437,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.806929,0.924219,0.0,0.176842,0.213245,0.243523,0.200996,0.031361,-0.952228,0.953718,0.021736,0.021247,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,5.007503,4.212089,normal
