feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.032578,-0.030846,-0.030443,0.0,-0.030457,0.001139,18.635237,496.728821,0.001824,0.002466,-0.0,2.12949,0.976562,65.429687,1.953125,6.835937,0.594589,0.661259,-1.953214,-1.673453,-1.234535,0.0,-1.216259,0.478829,0.15724,-1.374652,0.099129,0.093725,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,24.320831,18.671169,normal
-0.033832,-0.030849,-0.030219,0.0,-0.030395,0.001398,9.595033,216.442123,0.001116,0.002583,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.583483,0.674707,-2.000551,-1.752487,-1.191074,0.0,-1.150817,0.589251,0.029647,-1.634138,0.104334,0.084628,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,25.271471,20.877527,normal
-0.035812,-0.03356,-0.031646,0.0,-0.031943,0.001964,4.023546,66.271851,0.003327,0.002199,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.615012,0.680859,-2.1707,-1.87525,-1.302632,0.0,-1.289798,0.590915,0.053149,-1.56072,0.130841,0.117765,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,29.970303,24.380911,normal
-0.03546,-0.033806,-0.033048,0.0,-0.033064,0.001376,13.478606,322.74649,0.005944,0.002364,-0.0,2.12949,0.976562,1.953125,65.429687,6.835937,0.643378,0.735601,-2.008748,-1.754251,-1.340306,0.0,-1.251405,0.52836,0.158624,-1.508077,0.099324,0.105646,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,29.280626,24.302128,normal
-0.038923,-0.036474,-0.035041,0.0,-0.035235,0.00175,7.754725,158.19902,0.002257,0.00198,-0.0,2.12949,0.976562,1.953125,65.429687,6.835937,0.656861,0.743215,-1.950588,-1.746092,-1.213344,0.0,-1.190562,0.551771,0.105874,-1.569514,0.114558,0.114683,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,29.488283,24.05378,normal
-0.038788,-0.035838,-0.034529,0.0,-0.034763,0.001755,7.362994,148.220871,0.002707,0.00284,-0.0,2.12949,0.976562,1.953125,65.429687,3.90625,0.657629,0.699734,-2.031142,-1.760278,-1.338582,0.0,-1.302675,0.481459,0.13809,-1.319637,0.159865,0.114945,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,28.505861,23.346045,normal
-0.036693,-0.034309,-0.033627,0.0,-0.033538,0.00148,11.434489,255.14978,0.004796,0.002736,-0.0,2.12949,0.976562,65.429687,2.929688,1.953125,0.639062,0.703447,-1.972652,-1.777749,-1.315923,0.0,-1.195235,0.585096,0.332763,-1.381879,0.083535,0.076025,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,19.949385,18.777069,normal
-0.035689,-0.033792,-0.0322,0.0,-0.031974,0.002256,2.8973,37.531151,0.005253,0.002677,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.599914,0.695007,-2.119871,-1.887736,-1.346973,0.0,-1.309742,0.581328,0.214043,-1.384022,0.069926,0.020479,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,15.172765,10.595587,normal
-0.036221,-0.034382,-0.033754,0.0,-0.03336,0.001783,7.143144,118.96907,0.001345,0.001755,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,0.611776,0.703637,-2.127406,-1.75622,-1.082516,0.0,-1.105488,0.651241,-0.052248,-1.516705,0.025896,0.001938,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,15.132998,9.766669,normal
-0.034236,-0.03256,-0.031385,0.0,-0.030978,0.002055,3.510551,48.463284,0.003912,0.002608,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.579812,0.675292,-1.910223,-1.676723,-1.085459,0.0,-1.073222,0.585612,0.091189,-1.542405,0.028735,0.029581,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,13.301847,9.3757,normal
-0.032549,-0.030813,-0.029514,0.0,-0.029095,0.002142,2.644211,31.418221,0.00413,0.001997,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.539786,0.639924,-1.97491,-1.655602,-1.155851,0.0,-1.10201,0.584898,0.090594,-1.480466,0.041245,0.026703,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,13.71292,9.274172,normal
-0.03098,-0.029383,-0.02875,0.0,-0.02846,0.001451,7.531889,142.434631,0.00139,0.002575,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.560119,0.629777,-2.006787,-1.74764,-1.242954,0.0,-1.196699,0.57978,0.163851,-1.456195,0.084483,0.031389,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,13.791785,9.01615,normal
-0.031651,-0.030051,-0.02961,0.0,-0.029301,0.00138,9.695012,196.438644,0.003911,0.001926,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.56348,0.619428,-2.182597,-1.913521,-1.430669,0.0,-1.348081,0.562367,0.247634,-1.328362,0.056423,0.039302,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,15.558187,10.333883,normal
-0.031477,-0.029612,-0.029072,0.0,-0.028705,0.001568,6.373151,107.869911,0.001236,0.002104,-0.0,2.12949,0.976562,65.429687,1.953125,16.601562,0.546794,0.636574,-2.184619,-1.962463,-1.477459,0.0,-1.393718,0.575462,0.29081,-1.321995,0.085258,0.03715,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,16.251469,11.046215,normal
-0.032221,-0.029699,-0.028428,0.0,-0.028263,0.001922,3.186359,43.874294,0.001959,0.002071,-0.0,2.12949,0.976562,65.429687,5.859375,2.929688,0.543199,0.633392,-1.972019,-1.746576,-1.292007,0.0,-1.206232,0.53368,0.240659,-1.356809,0.03653,0.027056,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,14.537874,9.669611,normal
-0.030304,-0.028192,-0.026408,0.0,-0.026831,0.001712,3.399351,57.060326,0.003989,0.002013,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.530183,0.646464,-1.940177,-1.695738,-1.22151,0.0,-1.176508,0.525656,0.15408,-1.340699,0.017504,0.055976,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,16.219017,9.927958,normal
-0.027821,-0.026315,-0.025533,0.0,-0.025185,0.001589,4.292138,60.097218,0.003663,0.002148,-0.0,1.962227,0.976562,65.429687,16.601562,5.859375,0.502114,0.591712,-2.065532,-1.889064,-1.362379,0.0,-1.276973,0.598889,0.236233,-1.426681,0.056753,0.034139,-0.0,1.962227,0.976562,1.953125,2.929688,4.882812,14.048491,8.870816,normal
-0.034449,-0.032172,-0.030936,0.0,-0.030394,0.00252,2.491123,20.353193,0.003596,0.002055,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.534041,0.594388,-2.030674,-1.708897,-1.03007,0.0,-1.114642,0.585462,-0.113162,-1.568391,0.031546,0.046722,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,16.835075,12.454359,normal
-0.034234,-0.031543,-0.029199,0.0,-0.029543,0.002366,1.663342,22.034695,0.001909,0.002505,-0.0,2.12949,0.976562,1.953125,65.429687,5.859375,0.540324,0.63367,-1.676006,-1.138094,-0.763635,0.0,-0.806605,0.391142,-0.232768,-1.160902,0.183217,0.097688,-0.0,2.12949,0.976562,1.953125,4.882812,13.671875,23.950605,25.332497,normal
-0.031931,-0.028874,-0.027908,0.0,-0.028127,0.001526,5.658512,111.006294,0.002652,0.001882,-0.0,2.12949,0.976562,65.429687,1.953125,3.90625,0.540783,0.657102,-1.755264,-1.276595,-0.664773,0.0,-0.787572,0.49895,-0.342587,-1.34558,0.136221,0.140934,-0.0,2.12949,1.953125,0.976562,2.929688,4.882812,32.036694,28.803755,normal
-0.032519,-0.029784,-0.028985,0.0,-0.029078,0.001344,9.659735,211.993195,0.002744,0.002334,-0.0,2.12949,0.976562,65.429687,1.953125,16.601562,0.564907,0.644496,-2.069994,-1.626778,-0.924623,0.0,-1.054417,0.606196,-0.270686,-1.424087,0.19459,0.160351,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,36.393833,32.735065,normal
-0.033246,-0.030899,-0.029829,0.0,-0.030132,0.001406,9.261151,203.935638,0.003392,0.002053,-0.0,2.12949,0.976562,1.953125,65.429687,64.453125,0.578422,0.631402,-2.145077,-1.909974,-1.249513,0.0,-1.251309,0.620569,-0.035031,-1.554696,0.239764,0.140941,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,38.31826,33.31982,normal
-0.031153,-0.02763,-0.026926,0.0,-0.027051,0.001453,5.849134,116.105957,0.006413,0.002722,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.556796,0.625014,-2.182337,-1.909161,-1.574808,0.0,-1.431953,0.52156,0.331882,-1.324281,0.086325,0.132165,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,34.302399,28.896147,normal
-0.029376,-0.027685,-0.0271,0.0,-0.027091,0.001146,12.876212,302.863708,0.003352,0.002397,-0.0,2.12949,0.976562,65.429687,1.953125,3.90625,0.555097,0.630949,-2.015558,-1.800296,-1.223452,0.0,-1.22706,0.557623,0.089073,-1.567906,0.07711,0.124969,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,30.631578,26.057499,normal
-0.033329,-0.031441,-0.030049,0.0,-0.030126,0.001745,4.881233,84.644806,0.001903,0.002722,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.603463,0.712739,-1.856935,-1.625951,-1.230409,0.0,-1.132941,0.497254,0.190268,-1.478879,0.173908,0.117736,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,28.898327,24.105968,normal
-0.034118,-0.031201,-0.03042,0.0,-0.030548,0.001392,10.082674,224.124329,0.003461,0.002085,-0.0,2.12949,0.976562,1.953125,3.90625,65.429687,0.598246,0.678807,-2.123259,-1.928913,-0.99074,0.0,-1.153462,0.669437,-0.168732,-1.625018,0.113427,0.128164,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,31.441362,27.869341,normal
-0.03196,-0.028942,-0.027623,0.0,-0.028018,0.001599,4.73939,90.375031,0.003909,0.002348,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.587791,0.667892,-2.210183,-1.900825,-1.170712,0.0,-1.248041,0.640816,-0.140968,-1.484998,0.126801,0.165164,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,38.848969,34.299469,normal
-0.035118,-0.033092,-0.032065,0.0,-0.031259,0.00255,2.261865,20.620918,0.002462,0.002193,-0.0,2.12949,0.976562,65.429687,1.953125,5.859375,0.585119,0.66228,-2.098022,-1.87788,-1.512934,0.0,-1.516022,0.395562,0.447572,-0.583421,0.195451,0.131727,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,30.597282,31.131449,normal
-0.030031,-0.027996,-0.026423,0.0,-0.026404,0.001984,2.483457,29.171715,0.002349,0.001995,-0.0,2.12949,0.976562,65.429687,1.953125,3.90625,0.52688,0.58797,-2.005778,-1.765592,-1.340967,0.0,-1.276124,0.486061,0.160826,-1.440174,0.06227,0.054104,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,18.1514,12.634422,normal
-0.025052,-0.023238,-0.022622,0.0,-0.022572,0.001225,6.259657,111.108452,0.003242,0.001584,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.48172,0.598576,-1.968484,-1.71544,-1.294366,0.0,-1.260033,0.48632,0.128033,-1.385089,0.03137,0.049041,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,18.030029,12.954585,normal
-0.027323,-0.025289,-0.024753,0.0,-0.024596,0.00137,6.400288,101.519791,0.006504,0.001849,-0.0,2.12949,0.976562,1.953125,65.429687,3.90625,0.481286,0.589662,-2.305562,-1.937366,-1.518569,0.0,-1.39946,0.621096,0.285765,-1.378,0.05909,0.070931,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,22.725674,18.39097,normal
-0.028466,-0.027365,-0.026799,0.0,-0.026018,0.001793,3.321845,41.374672,0.004843,0.002729,-0.0,0.0,0.976562,1.953125,2.929688,5.859375,0.541781,0.623584,-2.198172,-1.959273,-1.47656,0.0,-1.35509,0.612947,0.14258,-1.601809,0.155063,0.127515,-0.0,0.0,0.976562,1.953125,4.882812,12.695313,30.064911,24.195034,normal
-0.030531,-0.027154,-0.026453,0.0,-0.026685,0.001402,6.105983,127.043106,0.004619,0.001382,-0.0,2.12949,0.976562,2.929688,65.429687,1.953125,0.553916,0.672187,-1.969836,-1.719374,-1.2624,0.0,-1.191088,0.535989,0.144415,-1.50614,0.164757,0.114744,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,30.974068,25.835041,normal
-0.031001,-0.027466,-0.026028,0.0,-0.026501,0.001642,3.480879,64.995598,0.001513,0.002641,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.526689,0.608548,-2.105309,-1.85841,-1.178189,0.0,-1.181907,0.622328,-0.050051,-1.591088,0.125803,0.130765,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,31.593344,27.185867,normal
-0.02814,-0.025847,-0.025264,0.0,-0.025302,0.001135,10.628613,239.144257,0.00253,0.002197,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.526062,0.592788,-2.204,-1.993687,-1.090015,0.0,-1.204852,0.665635,-0.25034,-1.496775,0.174865,0.157104,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,36.601643,32.57193,normal
-0.028931,-0.026931,-0.026225,0.0,-0.026228,0.001268,8.514661,176.489761,0.00239,0.002064,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.540525,0.600886,-2.213115,-1.878321,-1.150527,0.0,-1.195695,0.64621,-0.171321,-1.504114,0.122646,0.174726,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,40.231915,35.730835,normal
-0.030628,-0.027601,-0.025668,0.0,-0.026093,0.00186,2.23406,36.258896,0.001352,0.002037,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.529111,0.587501,-2.14713,-1.657155,-1.015274,0.0,-1.087586,0.592288,-0.266524,-1.414623,0.173702,0.180339,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,39.432549,36.072502,normal
-0.033326,-0.030755,-0.028996,0.0,-0.029381,0.001798,4.15079,68.040237,0.003912,0.002305,-0.0,2.12949,0.976562,1.953125,65.429687,3.90625,0.562942,0.662433,-2.099221,-1.603502,-0.952922,0.0,-1.024756,0.582024,-0.324455,-1.30869,0.216533,0.156343,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,38.734478,34.216961,normal
-0.038033,-0.034227,-0.031287,0.0,-0.031813,0.003066,0.687924,9.778181,0.001607,0.002589,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.587499,0.707904,-2.035318,-1.463363,-0.806241,0.0,-0.92558,0.584931,-0.377012,-1.269386,0.216912,0.158221,-0.0,2.12949,1.953125,0.976562,2.929688,16.601562,37.027809,34.417023,normal
-0.035623,-0.033278,-0.032424,0.0,-0.032454,0.001586,8.256756,169.315231,0.003496,0.002398,-0.0,2.12949,0.976562,65.429687,2.929688,1.953125,0.59416,0.659928,-2.252881,-2.05485,-1.600135,0.0,-1.464407,0.579167,0.212705,-1.512472,0.173974,0.135898,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,36.454533,31.723791,normal
-0.037868,-0.035176,-0.033697,0.0,-0.033573,0.002166,3.621058,54.607246,0.000611,0.002178,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.624072,0.685309,-2.233335,-1.951489,-1.532703,0.0,-1.549034,0.422614,0.147549,-0.893615,0.195865,0.102388,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,27.372789,25.051361,normal
-0.035326,-0.032256,-0.029764,0.0,-0.030304,0.002375,1.783057,24.205976,0.001603,0.002053,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.581805,0.669027,-2.181267,-1.884153,-1.455177,0.0,-1.356706,0.573827,0.227492,-1.418391,0.079148,0.053425,-0.0,2.12949,0.976562,1.953125,2.929688,11.71875,20.812986,15.487882,normal
-0.03667,-0.034455,-0.033655,0.0,-0.033,0.002392,3.405643,34.726013,0.006917,0.002598,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.608709,0.69431,-2.260577,-2.058343,-1.596937,0.0,-1.490188,0.594486,0.280008,-1.455901,0.104299,0.078543,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,25.486549,18.614702,normal
-0.038913,-0.03718,-0.036253,0.0,-0.036107,0.001673,9.862341,209.478577,0.005167,0.002415,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.673313,0.749714,-2.262635,-1.974151,-1.509035,0.0,-1.466851,0.517863,0.118303,-1.380395,0.131646,0.073703,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,27.197811,19.602797,normal
-0.042321,-0.039389,-0.037326,0.0,-0.036826,0.003298,1.634076,13.775524,0.001609,0.002735,-0.0,2.12949,0.976562,65.429687,2.929688,1.953125,0.648764,0.71269,-2.195273,-1.944977,-1.515775,0.0,-1.444391,0.56126,0.421821,-1.073414,0.081054,0.08952,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,20.64879,18.079643,normal
-0.036761,-0.034176,-0.033181,0.0,-0.032772,0.002212,3.494136,45.591599,0.00423,0.002532,-0.0,2.12949,0.976562,1.953125,65.429687,3.90625,0.606974,0.712941,-2.043226,-1.874561,-1.361487,0.0,-1.286524,0.582098,0.262471,-1.382513,0.041601,0.024782,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,15.762041,9.509859,normal
-0.034039,-0.032427,-0.031294,0.0,-0.031048,0.001894,4.537254,68.761444,0.006116,0.002699,-0.0,2.12949,0.976562,65.429687,1.953125,2.929688,0.579448,0.66179,-2.061505,-1.794611,-1.308704,0.0,-1.244402,0.565657,0.20643,-1.335583,0.05857,0.023474,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,14.331475,9.250154,normal
-0.03423,-0.032195,-0.031324,0.0,-0.031215,0.001609,7.264496,136.444504,0.003778,0.002475,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.576597,0.645034,-2.157352,-1.86398,-1.230921,0.0,-1.222655,0.634224,0.042099,-1.551152,0.053431,0.039599,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,15.783402,10.34553,normal
-0.035989,-0.034184,-0.032236,0.0,-0.032251,0.002257,2.792289,38.742523,0.002829,0.00253,-0.0,2.12949,0.976562,1.953125,65.429687,12.695313,0.561154,0.685177,-1.623089,-1.287401,-0.804404,0.0,-0.841095,0.453572,-0.218462,-1.408849,0.176573,0.067337,-0.0,2.12949,0.976562,1.953125,2.929688,16.601562,17.733553,18.043608,normal
-0.034579,-0.03216,-0.029657,0.0,-0.029685,0.002718,1.23091,12.168345,0.002044,0.002232,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.532825,0.606132,-2.004115,-1.150567,-0.788508,0.0,-0.844773,0.476838,-0.553639,-0.646139,0.203161,0.136149,-0.0,2.12949,1.953125,0.976562,2.929688,16.601562,29.961739,29.961239,normal
-0.032135,-0.030237,-0.028734,0.0,-0.029078,0.001607,5.465592,102.738213,0.002906,0.002198,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.531656,0.616483,-2.050522,-1.496175,-0.874326,0.0,-1.014,0.560961,-0.362453,-1.296367,0.140767,0.16209,-0.0,2.12949,0.976562,1.953125,2.929688,13.671875,37.307102,34.142448,normal
-0.031658,-0.029208,-0.026505,0.0,-0.027118,0.002148,1.628263,23.034775,0.000839,0.002071,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.523421,0.615285,-2.136896,-1.50609,-0.928127,0.0,-1.015641,0.557563,-0.264834,-1.284594,0.206724,0.163889,-0.0,2.12949,1.953125,0.976562,4.882812,2.929688,36.404621,33.768581,normal
-0.029249,-0.02648,-0.025139,0.0,-0.025192,0.001853,2.253769,31.702599,0.001064,0.001976,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.477627,0.549794,-1.997934,-1.49162,-0.897586,0.0,-1.004312,0.566713,-0.368572,-1.275719,0.181256,0.145209,-0.0,2.12949,0.976562,1.953125,4.882812,16.601562,32.255634,29.544424,normal
-0.029841,-0.027557,-0.026947,0.0,-0.027084,0.001275,9.262751,197.230453,0.002336,0.002096,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.486743,0.566012,-1.653381,-1.304258,-0.76823,0.0,-0.834939,0.485811,-0.215544,-1.435657,0.120986,0.131202,-0.0,2.12949,1.953125,0.976562,2.929688,4.882812,30.056158,27.385534,normal
-0.03043,-0.028022,-0.027025,0.0,-0.02716,0.001458,6.031491,115.554085,0.001903,0.002445,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.528844,0.613035,-2.04758,-1.557431,-0.957067,0.0,-1.00821,0.532777,-0.213801,-1.365365,0.249396,0.148985,-0.0,2.12949,1.953125,0.976562,2.929688,4.882812,34.707481,32.284409,normal
-0.037687,-0.034427,-0.033029,0.0,-0.033445,0.001981,4.3888,77.840767,0.003695,0.001585,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.638046,0.706454,-2.35371,-2.114775,-1.883723,0.0,-1.65522,0.591893,0.861641,-0.689378,0.137898,0.078309,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,30.369194,30.960394,normal
